age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
33,10.425,10.275,10.26,0.00045,1.0,1.0,28567.0,1.0,1124.962329,3,9
35,10.47,10.28,10.28,0.0,1.0,1.0,29380.0,1.0,1124.962329,1,9
36,10.44666667,10.27333333,10.25,0.000433333,1.0,1.0,28231.33333,0.666666667,1124.962329,4,9
37,10.44571429,10.26142857,10.2,0.001180952,2.428571429,1.0,26277.85714,0.571428571,1124.962329,3,9
38,10.605,10.23,10.2,0.0018,2.0,1.0,20808.5,0.0,1124.962329,2,9
39,10.49333333,10.25,10.22,0.0009,2.0,1.0,24019.66667,0.333333333,1124.962329,1,9
40,10.7,10.23,10.2,0.0018,3.5,2.0,20808.5,0.0,1124.962329,5,9
19,10.31,10.27,10.27,0.0,1.0,1.0,27452.0,1.0,1123.596154,1,9
26,10.48,10.17,10.07,0.0124,1.333333333,1.0,15510.66667,0.666666667,1137.753126,3,1
27,10.25,10.23166667,10.19,0.001096667,2.0,1.0,21075.0,1.0,1137.753126,2,1
28,10.318,10.223,10.05,0.007045556,1.2,1.0,21848.8,0.9,1137.753126,1,1
29,10.24666667,10.20666667,10.17,0.001633333,1.0,1.0,17414.33333,1.0,1137.753126,4,9
30,10.61,10.02,10.02,0.0,1.0,1.0,2531.0,0.0,1137.753126,3,9
31,10.18666667,10.21666667,10.15,0.003733333,4.0,3.0,19438.0,0.666666667,1137.753126,2,9
32,10.29666667,10.23,10.18,0.0039,1.0,1.0,21607.0,1.0,1137.753126,1,9
34,10.33666667,10.25333333,10.22,0.001233333,3.666666667,3.0,24741.0,1.0,1137.753126,3,9
35,10.4,10.28,10.28,0.0,3.0,3.0,29380.0,1.0,1137.753126,2,9
18,10.38,10.265,10.25,0.00045,1.0,1.0,26575.0,0.5,1139.179104,2,9
20,10.32857143,10.15857143,9.97,0.008259341,1.785714286,1.0,13691.14286,0.5,1139.179104,4,9
21,10.335,10.16,10.08,0.0128,2.5,1.0,13613.5,0.5,1139.179104,3,9
24,10.27,10.175,10.13,0.00405,2.5,1.0,13748.0,1.0,1139.179104,4,9
25,10.25666667,10.19833333,10.02,0.009016667,4.0,1.0,18479.0,1.0,1139.179104,3,9
