Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
127,9.83,-0.3,Asafa POWELL,23-Nov-82,JAM,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22-Sep-07,1267
127,9.83,-0.5,Usain BOLT,21-Aug-86,JAM,1f1,,"Letzigrund, Zürich (SUI)",29-Aug-08,1269
127,9.83,-1.3,Asafa POWELL,23-Nov-82,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",5-Sep-08,1273
127,9.83,-0.5,Asafa POWELL,23-Nov-82,JAM,1,,"Mestský Stadion, Ostrava (CZE)",27-May-10,1269
127,9.83,3.6,Yohan BLAKE,26-Dec-89,JAM,1h4,,Kingston (JAM),23-Jun-11,1245
127,9.83,0.7,Justin GATLIN,10-Feb-82,USA,1f2,,"Stadio Guidobaldi, Rieti (ITA)",7-Sep-14,1266
127,9.83,2.1,Justin GATLIN,10-Feb-82,USA,1h6,,"National Stadium, Beijing (CHN)",22-Aug-15,1254
127,9.83,1.7,Justin GATLIN,10-Feb-82,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1266
127,9.83,0.9,Bingtian SU,29-Aug-89,CHN,1sf3,,"National Stadium, Tokyo (JPN)",1-Aug-21,1266
127,9.83,0.9,Ronnie BAKER,15-Oct-93,USA,2sf3,,"National Stadium, Tokyo (JPN)",1-Aug-21,1266
127,9.83,2.5,Micah WILLIAMS,12-Nov-01,USA,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",16-Apr-22,1251
127,9.83,1.5,Fred KERLEY,7-May-95,USA,1h2,,"Hayward Field, Eugene, OR (USA)",23-Jun-22,1266
127,9.83,2.6,Issamade ASINGA,29-Dec-04,SUR,1f1,,"National Training Center, Clermont, FL (USA)",23-Apr-23,1251
127,9.83,1.3,Zharnel HUGHES,13-Jul-95,GBR,1,,"Icahn Stadium, New York, NY (USA)",24-Jun-23,1266
127,9.83,0,Noah LYLES,18-Jul-97,USA,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20-Aug-23,1266
127,9.83,0.4,Christian COLEMAN,6-Mar-96,USA,1,,"Egret Stadium, Xiamen (CHN)",2-Sep-23,1266
127,9.83,0.1,Christian COLEMAN,6-Mar-96,USA,1,,"Hayward Field, Eugene, OR (USA)",16-Sep-23,1266
127,9.83,0.4,Noah LYLES,18-Jul-97,USA,1,,"Hayward Field, Eugene, OR (USA)",23-Jun-24,1266
127,9.83,0.4,Oblique SEVILLE,16-Mar-01,JAM,1sf2,,"National Stadium, Kingston (JAM)",28-Jun-24,1266
148,9.84,0.7,Donovan BAILEY,16-Dec-67,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",27-Jul-96,1262
148,9.84,3.3,Maurice GREENE,23-Jul-74,USA,h,,"New Orleans, LA (USA)",19-Jun-98,1243
148,9.84,3.5,Maurice GREENE,23-Jul-74,USA,1,,"Eugene, OR (USA)",30-May-99,1241
148,9.84,0.2,Bruny SURIN,12-Jul-67,CAN,2,,"La Cartuja, Sevilla (ESP)",22-Aug-99,1262
148,9.84,1.8,Asafa POWELL,23-Nov-82,JAM,1,,Kingston (JAM),7-May-05,1262
148,9.84,3.4,Justin GATLIN,10-Feb-82,USA,1,,"Eugene, OR (USA)",4-Jun-05,1242
148,9.84,3.4,Asafa POWELL,23-Nov-82,JAM,2,,"Eugene, OR (USA)",4-Jun-05,1242
148,9.84,5.4,Francis OBIKWELU,22-Nov-78,POR,1,,Zaragoza (ESP),3-Jun-06,1230
148,9.84,1,Tyson GAY,9-Aug-82,USA,2f1,,Zürich (SUI),18-Aug-06,1262
148,9.84,-0.5,Tyson GAY,9-Aug-82,USA,1,,"Indianapolis, IN (USA)",22-Jun-07,1265
148,9.84,-0.3,Asafa POWELL,23-Nov-82,JAM,1,,"Boudewijnstadion, Bruxelles (BEL)",14-Sep-07,1263
148,9.84,4.1,Darvis PATTON,4-Dec-77,USA,3,,"Eugene, OR (USA)",29-Jun-08,1238
148,9.84,0.9,Asafa POWELL,23-Nov-82,JAM,3,,"Olympiastadion, Berlin (GER)",16-Aug-09,1262
148,9.84,-0.3,Usain BOLT,21-Aug-86,JAM,1,,"Stade de France, Paris-St-Denis (FRA)",16-Jul-10,1263
148,9.84,0,Tyson GAY,9-Aug-82,USA,1,,"Olympiastadion, Stockholm (SWE)",6-Aug-10,1262
148,9.84,0.5,Yohan BLAKE,26-Dec-89,JAM,1,,George Town (CAY),9-May-12,1262
148,9.84,1.8,Asafa POWELL,23-Nov-82,JAM,1f1,,"National Stadium, Kingston (JAM)",9-May-15,1262
148,9.84,1.3,Trayvon BROMELL,10-Jul-95,USA,1h4,,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1262
148,9.84,0.9,Asafa POWELL,23-Nov-82,JAM,1,,Kingston (JAM),26-Jun-15,1262
148,9.84,1.6,Trayvon BROMELL,10-Jul-95,USA,2,,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1262
148,9.84,4.8,Ben Youssef MEITE,11-Nov-86,CIV,2,,"Olympiastadion, Stockholm (SWE)",18-Jun-17,1234
148,9.84,2.4,Christian COLEMAN,6-Mar-96,USA,2,,"Hayward Field, Eugene, OR (USA)",26-May-18,1248
148,9.84,2.7,Trayvon BROMELL,10-Jul-95,USA,1h2,,"Hayward Field, Eugene, OR (USA)",19-Jun-21,1246
148,9.84,1.2,Akani SIMBINE,21-Sep-93,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",6-Jul-21,1262
148,9.84,0.1,Fred KERLEY,7-May-95,USA,2,,"National Stadium, Tokyo (JPN)",1-Aug-21,1262
148,9.84,0.9,Lamont Marcell JACOBS,26-Sep-94,ITA,3sf3,,"National Stadium, Tokyo (JPN)",1-Aug-21,1262
148,9.84,-0.5,Ferdinand OMANYALA,2-Jan-96,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13-May-23,1265
148,9.84,2.5,Louie HINCHLIFFE,18-Jul-02,GBR,1h1,,"John McDonnell Field, Fayetteville, AR (USA)",24-May-24,1247
148,9.84,0.6,Kishane THOMPSON,17-Jul-01,JAM,1sf1,,"National Stadium, Kingston (JAM)",28-Jun-24,1262
177,9.85,5.3,Leroy BURRELL,21-Feb-67,USA,2h4,,"Eugene, OR (USA)",16-Jun-93,1228
177,9.85,4.8,Andre CASON,20-Jan-69,USA,1,,"Eugene, OR (USA)",17-Jun-93,1231
177,9.85,4.8,Dennis MITCHELL,20-Feb-66,USA,2,,"Eugene, OR (USA)",17-Jun-93,1231
177,9.85,1.2,Leroy BURRELL,21-Feb-67,USA,1f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",6-Jul-94,1259
177,9.85,0.8,Maurice GREENE,23-Jul-74,USA,1,,"Stadio Olimpico, Roma (ITA)",7-Jul-99,1259
177,9.85,3,Frank FREDERICKS,2-Oct-67,NAM,1,,Nairobi (KEN),18-May-02,1241
177,9.85,0.6,Justin GATLIN,10-Feb-82,USA,1,,"Olympic Stadium, Athina (GRE)",22-Aug-04,1259
177,9.85,0.6,Asafa POWELL,23-Nov-82,JAM,1,,Ostrava (CZE),9-Jun-05,1259
177,9.85,1.7,Olusoji Adetokunbo FASUBA,9-Jul-84,NGR,1,,Doha (QAT),12-May-06,1259
177,9.85,0.1,Asafa POWELL,23-Nov-82,JAM,1f1,,"Stade de France, Paris-St-Denis (FRA)",8-Jul-06,1259
177,9.85,0.5,Asafa POWELL,23-Nov-82,JAM,1f1,,"Stadio Olimpico, Roma (ITA)",14-Jul-06,1259
177,9.85,-0.5,Tyson GAY,9-Aug-82,USA,1,,"Yanmar Stadium Nagai, Osaka (JPN)",26-Aug-07,1262
177,9.85,1.7,Tyson GAY,9-Aug-82,USA,2f1,,"Icahn Stadium, New York, NY (USA)",31-May-08,1259
177,9.85,-0.1,Usain BOLT,21-Aug-86,JAM,1,,Kingston (JAM),28-Jun-08,1259
177,9.85,4.1,Travis PADGETT,13-Dec-86,USA,4,,"Eugene, OR (USA)",29-Jun-08,1235
177,9.85,2.2,Tyson GAY,9-Aug-82,USA,1sf1,,"Eugene, OR (USA)",29-Jun-08,1246
177,9.85,-0.1,Usain BOLT,21-Aug-86,JAM,1sf1,,"National Stadium, Beijing (CHN)",16-Aug-08,1259
177,9.85,4,Michael RODGERS,24-Apr-85,USA,1sf1,,"Eugene, OR (USA)",26-Jun-09,1235
177,9.85,2,Asafa POWELL,23-Nov-82,JAM,2,,Shanghai (CHN),20-Sep-09,1259
177,9.85,0.1,Nesta CARTER,11-Oct-85,JAM,2,,"Boudewijnstadion, Bruxelles (BEL)",27-Aug-10,1259
177,9.85,1.3,Michael RODGERS,24-Apr-85,USA,2,,"Hayward Field, Eugene, OR (USA)",4-Jun-11,1259
177,9.85,1,Richard THOMPSON,7-Jun-85,TTO,1,,Port-of-Spain (TTO),13-Aug-11,1259
177,9.85,0.1,Usain BOLT,21-Aug-86,JAM,1,,"Sports Park Mladost, Zagreb (CRO)",13-Sep-11,1259
177,9.85,2.4,Walter DIX,31-Jan-86,USA,1,,"Walnut, CA (USA)",21-Apr-12,1245
177,9.85,3.6,Keston BLEDMAN,8-Mar-88,TTO,1f1,,"Clermont, FL (USA)",2-Jun-12,1238
177,9.85,0.6,Asafa POWELL,23-Nov-82,JAM,2,,"Bislett Stadion, Oslo (NOR)",7-Jun-12,1259
177,9.85,1.6,Yohan BLAKE,26-Dec-89,JAM,1f1,,Luzern (SUI),17-Jul-12,1259
177,9.85,1.7,Yohan BLAKE,26-Dec-89,JAM,1sf3,,"Olympic Stadium, London (GBR)",5-Aug-12,1259
177,9.85,3.2,Charles SILMON,4-Jul-91,USA,1sf1,,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1240
177,9.85,0.2,Usain BOLT,21-Aug-86,JAM,1f1,,"Olympic Stadium, London (GBR)",26-Jul-13,1259
177,9.85,-0.3,Justin GATLIN,10-Feb-82,USA,2,,"Luzhniki Stadion, Moskva (RUS)",11-Aug-13,1260
177,9.85,2.1,Isiah YOUNG,5-Jan-90,USA,1h1,,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1247
177,9.85,4.9,Tyson GAY,9-Aug-82,USA,2h3,,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1230
177,9.85,3,Kemar HYMAN,11-Oct-89,CAY,1sf2,,San José (CRC),7-Aug-15,1241
177,9.85,0.9,Christian COLEMAN,6-Mar-96,USA,1,,"Bislett Stadion, Oslo (NOR)",13-Jun-19,1259
177,9.85,1.5,Marvin BRACY,15-Dec-93,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",5-Jun-21,1259
177,9.85,0.8,Ronnie BAKER,15-Oct-93,USA,2,,"Hayward Field, Eugene, OR (USA)",20-Jun-21,1259
177,9.85,-0.4,Marvin BRACY,15-Dec-93,USA,1,,"Christian Brothers HS, Memphis, TN (USA)",15-Aug-21,1261
177,9.85,2,Ferdinand OMANYALA,2-Jan-96,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",7-May-22,1259
177,9.85,1.8,Marvin BRACY-WILLIAMS,15-Dec-93,USA,2,,"Hayward Field, Eugene, OR (USA)",24-Jun-22,1259
