Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
2017,26,10.24,10.23,10.23,0,5,5,20480,1,Ameer WEBB,1144.561396,5,9,0
2018,27,10.2225,10.1575,10.07,0.003558333,3.25,1,11945.25,1,Ameer WEBB,1144.561396,4,9,0
2019,28,10.26857143,10.20428571,10.1,0.006728571,3.285714286,1,18955.14286,0.857142857,Ameer WEBB,1144.561396,3,9,0
2021,30,10.32,10.14333333,10.09,0.003733333,3.333333333,1,10576.33333,0.666666667,Ameer WEBB,1144.561396,1,9,0
2021,21,10.5525,10.235,10.18,0.0015,3.25,1,21707,0.25,Amir WILLIS,1144.561396,1,9,0
2009,23,10.31,10.3,10.3,0,1,1,33876,1,Amr Ibrahim Mostafa SEOUD,1121.583333,4,9,0
2010,24,10.3275,10.235,10.18,0.001966667,2,1,21851,1,Amr Ibrahim Mostafa SEOUD,1121.583333,3,9,0
2011,25,10.25333333,10.2,10.13,0.0049,1,1,17355.33333,1,Amr Ibrahim Mostafa SEOUD,1121.583333,2,9,0
2012,26,10.4,10.26,10.22,0.0032,6,4,26392.5,0.5,Amr Ibrahim Mostafa SEOUD,1121.583333,1,9,0
2013,27,10.52,10.29,10.29,0,5,5,31544,0,Amr Ibrahim Mostafa SEOUD,1121.583333,4,9,0
2012,20,10.45,10.24,10.24,0,1,1,22081,0,Anaso JOBODWANA,1140.91766,1,9,0
2013,21,10.264,10.183,10.1,0.005067778,1.8,1,15687.4,0.8,Anaso JOBODWANA,1140.91766,4,9,0
