Competitor,Rank,Mark,WIND,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
1,18909,10.22,0.1,1179.629411764706,1f3,80,25-Mar-14,1132,10.23,30,20,1.0,2014
1,8587,10.13,-1,1179.629411764706,1h1,81,9-Jul-19,1168,10.03,30,25,1.0,2019
1,6354,10.1,1,1179.629411764706,1sf1,56,12-Mar-16,1172,10.2,30,22,1.0,2016
1,6354,10.1,0,1179.629411764706,6,21,24-Aug-17,1172,10.1,30,23,6.0,2017
1,1101,9.96,0.4,1179.629411764706,1,56,8-Mar-16,1220,10,30,22,1.0,2016
1,17420,10.21,-0.1,1179.629411764706,5,70,12-Sep-22,1135,10.2,30,28,5.0,2022
1,10382,10.15,0,1179.629411764706,4h3,16,4-Aug-17,1155,10.15,30,23,4.0,2017
1,13525,10.18,2,1179.629411764706,1,82,9-Apr-22,1145,10.38,30,28,1.0,2022
1,607,9.92,0.6,1179.629411764706,1sf1,64,30-Mar-23,1234,9.98,30,29,1.0,2023
1,5146,10.08,-0.4,1179.629411764706,1f1,83,22-Mar-18,1181,10.04,30,24,1.0,2018
1,2237,10.01,-0.5,1179.629411764706,1,62,19-Apr-24,1206,9.96,30,30,1.0,2024
1,2237,10.01,-0.1,1179.629411764706,1,84,27-Apr-24,1203,10,30,30,1.0,2024
1,1954,10.0,0.6,1179.629411764706,2f1,85,10-Jun-17,1206,10.06,30,23,2.0,2017
1,1954,10.0,-0.1,1179.629411764706,2,86,27-Aug-16,1206,9.99,30,22,2.0,2016
1,1954,10.0,0.3,1179.629411764706,1sf2,79,9-Jul-15,1206,10.03,30,21,1.0,2015
1,14702,10.19,1.3,1179.629411764706,1,87,11-Dec-12,1142,10.32,30,19,1.0,2012
1,4132,10.06,0.3,1179.629411764706,1h1,88,21-Apr-17,1186,10.09,30,23,1.0,2017
1,704,9.93,2,1179.629411764706,1f5,56,4-Mar-17,1231,10.13,30,23,1.0,2017
1,12446,10.17,0.5,1179.629411764706,1,89,8-Sep-20,1148,10.22,30,26,1.0,2020
1,14702,10.19,-0.3,1179.629411764706,1,90,3-Sep-20,1143,10.16,30,26,1.0,2020
1,830,9.94,0.2,1179.629411764706,5,50,14-Aug-16,1227,9.96,30,22,5.0,2016
1,2531,10.02,1.4,1179.629411764706,2,56,12-Apr-14,1199,10.16,30,20,2.0,2014
1,4132,10.06,-0.3,1179.629411764706,1,81,9-Jul-19,1187,10.03,30,25,1.0,2019
1,7744,10.12,-0.3,1179.629411764706,2,49,24-May-15,1166,10.09,30,21,2.0,2015
1,830,9.94,0.2,1179.629411764706,1sf1,88,21-Apr-17,1227,9.96,30,23,1.0,2017
1,4132,10.06,-1.2,1179.629411764706,4f1,78,31-May-22,1193,9.94,30,28,4.0,2022
1,7744,10.12,0.3,1179.629411764706,2sf3,72,8-Apr-18,1165,10.15,30,24,2.0,2018
1,106,9.82,2.8,1179.629411764706,1sf1,68,15-Apr-21,1253,10.1,30,27,1.0,2021
1,830,9.94,0.8,1179.629411764706,4,91,30-Jun-18,1227,10.02,30,24,4.0,2018
1,5146,10.08,0.9,1179.629411764706,6f1,69,4-Jun-15,1179,10.17,30,21,6.0,2015
1,1489,9.98,0.3,1179.629411764706,2,66,9-Jul-21,1213,10.01,30,27,2.0,2021
1,2531,10.02,0.9,1179.629411764706,4sf2,17,23-Aug-15,1199,10.11,30,21,4.0,2015
1,5722,10.09,0.9,1179.629411764706,1,88,24-Mar-15,1176,10.18,30,21,1.0,2015
1,25590,10.26,-0.1,1179.629411764706,1f4,56,1-Mar-14,1118,10.25,30,20,1.0,2014
1,1954,10.0,2.1,1179.629411764706,1f2,92,23-Mar-21,1194,10.21,30,27,1.0,2021
1,2531,10.02,0.7,1179.629411764706,3,66,21-Jul-17,1199,10.09,30,23,3.0,2017
1,704,9.93,0.2,1179.629411764706,2h2,16,21-Jul-18,1231,9.95,30,24,2.0,2018
1,2237,10.01,-0.2,1179.629411764706,2,93,6-May-23,1204,9.99,30,29,2.0,2023
1,20480,10.23,2.8,1179.629411764706,1h3,82,9-Apr-22,1112,10.51,30,28,1.0,2022
1,13525,10.18,-3,1179.629411764706,1f6,82,25-Feb-23,1163,9.88,30,29,1.0,2023
1,13525,10.18,0.1,1179.629411764706,6,94,3-Sep-21,1145,10.19,30,27,6.0,2021
1,4132,10.06,-0.1,1179.629411764706,1sf1,52,15-Apr-16,1186,10.05,30,22,1.0,2016
1,704,9.93,4.5,1179.629411764706,2,65,9-Jun-22,1204,10.38,30,28,2.0,2022
1,20480,10.23,0.8,1179.629411764706,1h1,79,8-Jul-15,1128,10.31,30,21,1.0,2015
1,2237,10.01,1.5,1179.629411764706,1,56,12-Mar-16,1203,10.16,30,22,1.0,2016
1,2237,10.01,1,1179.629411764706,6f1,85,11-Jun-16,1203,10.11,30,22,6.0,2016
1,704,9.93,0.1,1179.629411764706,4,67,1-Aug-21,1231,9.94,30,27,4.0,2021
1,13525,10.18,-1,1179.629411764706,1f1,95,18-Mar-16,1151,10.08,30,22,1.0,2016
1,5146,10.08,-0.4,1179.629411764706,1h6,67,31-Jul-21,1181,10.04,30,27,1.0,2021
1,13525,10.18,-0.4,1179.629411764706,7,94,11-Sep-15,1147,10.14,30,21,7.0,2015
1,13525,10.18,-1.7,1179.629411764706,4,96,13-Jun-15,1155,10.01,30,21,4.0,2015
1,2237,10.01,-0.8,1179.629411764706,5,16,5-Aug-17,1207,9.93,30,23,5.0,2017
1,2237,10.01,0.2,1179.629411764706,3,55,22-Jun-18,1203,10.03,30,24,3.0,2018
1,5146,10.08,-0.1,1179.629411764706,1,97,10-Jun-21,1179,10.07,30,27,1.0,2021
1,13525,10.18,0.1,1179.629411764706,6,41,3-Jul-14,1145,10.19,30,20,6.0,2014
1,704,9.93,0.6,1179.629411764706,4,30,28-Sep-19,1231,9.99,30,26,4.0,2019
1,2237,10.01,-0.3,1179.629411764706,1h1,16,20-Jul-19,1204,9.98,30,25,1.0,2019
1,2237,10.01,-0.3,1179.629411764706,1h1,30,27-Sep-19,1204,9.98,30,26,1.0,2019
1,2237,10.01,0.8,1179.629411764706,1sf3,30,28-Sep-19,1203,10.09,30,26,1.0,2019
1,2237,10.01,1.3,1179.629411764706,1,68,14-Mar-20,1203,10.14,30,26,1.0,2020
1,20480,10.23,-0.9,1179.629411764706,2,76,27-Jun-15,1133,10.14,30,21,2.0,2015
1,2237,10.01,-0.1,1179.629411764706,5,5,16-Jul-22,1203,10,30,28,5.0,2022
1,5146,10.08,-1.1,1179.629411764706,4f1,78,20-Jun-19,1185,9.97,30,25,4.0,2019
1,704,9.93,0.5,1179.629411764706,1,16,20-Jul-19,1231,9.98,30,25,1.0,2019
1,830,9.94,0.1,1179.629411764706,3,16,21-Jul-18,1227,9.95,30,24,3.0,2018
1,25590,10.26,-1.1,1179.629411764706,1qf4,79,8-Jul-15,1124,10.15,30,21,1.0,2015
1,2531,10.02,-0.2,1179.629411764706,1,70,15-Sep-20,1200,10,30,26,1.0,2020
1,5722,10.09,0.5,1179.629411764706,3,1,16-Jun-22,1176,10.14,30,28,3.0,2022
1,5722,10.09,-0.7,1179.629411764706,2h2,93,6-May-23,1180,10.02,30,29,2.0,2023
1,7017,10.11,-0.2,1179.629411764706,1,40,29-Jun-21,1170,10.09,30,27,1.0,2021
1,33876,10.3,0.9,1179.629411764706,1h1,56,12-Mar-16,1105,10.39,30,22,1.0,2016
1,5722,10.09,0,1179.629411764706,4,97,2-Jun-23,1176,10.09,30,29,4.0,2023
1,5722,10.09,-0.3,1179.629411764706,1,52,24-Apr-15,1177,10.06,30,21,1.0,2015
1,1716,9.99,-0.2,1179.629411764706,1f2,71,1-Jul-15,1211,9.97,30,21,1.0,2015
1,16027,10.2,0.7,1179.629411764706,1sf2,56,14-Mar-14,1138,10.27,30,20,1.0,2014
1,16027,10.2,-1.9,1179.629411764706,1sf1,52,17-Apr-15,1149,10.01,30,21,1.0,2015
1,7017,10.11,0.3,1179.629411764706,1h2,68,15-Apr-21,1169,10.14,30,27,1.0,2021
1,33876,10.3,NWI,1179.629411764706,1sf2,52,24-Apr-15,1075,#VALUE!,30,21,1.0,2015
1,1716,9.99,0.4,1179.629411764706,2,21,1-Sep-16,1210,10.03,30,22,2.0,2016
1,968,9.95,-0.7,1179.629411764706,1,88,21-Apr-17,1228,9.88,30,23,1.0,2017
1,2845,10.03,2.4,1179.629411764706,2,53,20-May-18,1182,10.27,30,24,2.0,2018
1,2845,10.03,-0.3,1179.629411764706,5,94,31-Aug-18,1197,10,30,24,5.0,2018
1,2845,10.03,-1.8,1179.629411764706,1sf1,68,14-Mar-20,1206,9.85,30,26,1.0,2020
1,968,9.95,0.9,1179.629411764706,3,47,18-May-19,1224,10.04,30,25,3.0,2019
1,2845,10.03,1,1179.629411764706,1,45,2-Jul-23,1196,10.13,30,29,1.0,2023
1,968,9.95,2.9,1179.629411764706,7,5,21-Aug-21,1207,10.24,30,27,7.0,2021
1,7017,10.11,0.7,1179.629411764706,1h1,56,15-Mar-18,1169,10.18,30,24,1.0,2018
1,10382,10.15,0.7,1179.629411764706,4h1,0,18-Aug-19,1155,10.22,30,25,4.0,2019
